edgeID,startNode,endNode
lPARK001GG_lEXIT001GG,lPARK001GG,lEXIT001GG
lPARK002GG_lEXIT001GG,lPARK002GG,lEXIT001GG
lPARK003GG_lEXIT001GG,lPARK003GG,lEXIT001GG
lPARK004GG_lEXIT001GG,lPARK004GG,lEXIT001GG
lPARK005GG_lEXIT001GG,lPARK005GG,lEXIT001GG
lPARK006GG_lEXIT001GG,lPARK006GG,lEXIT001GG
lPARK007GG_lEXIT001GG,lPARK007GG,lEXIT001GG
lPARK008GG_lEXIT001GG,lPARK008GG,lEXIT001GG
lPARK009GG_lEXIT001GG,lPARK009GG,lEXIT001GG
lPARK0010GG_lEXIT001GG,lPARK0010GG,lEXIT001GG
lPARK011GG_lEXIT001GG,lPARK011GG,lEXIT001GG
lPARK012GG_lEXIT001GG,lPARK012GG,lEXIT001GG
lPARK013GG_lEXIT001GG,lPARK013GG,lEXIT001GG
lPARK014GG_lEXIT001GG,lPARK014GG,lEXIT001GG
lPARK015GG_lEXIT001GG,lPARK015GG,lEXIT001GG
lPARK016GG_lEXIT001GG,lPARK016GG,lEXIT001GG
lPARK017GG_lEXIT001GG,lPARK017GG,lEXIT001GG
lPARK018GG_lEXIT001GG,lPARK018GG,lEXIT001GG
lPARK019GG_lEXIT001GG,lPARK019GG,lEXIT001GG
lPARK020GG_lEXIT001GG,lPARK020GG,lEXIT001GG
lPARK021GG_lEXIT001GG,lPARK021GG,lEXIT001GG
lPARK022GG_lEXIT001GG,lPARK022GG,lEXIT001GG
lPARK023GG_lEXIT001GG,lPARK023GG,lEXIT001GG
lPARK024GG_lEXIT001GG,lPARK024GG,lEXIT001GG
lPARK025GG_lEXIT001GG,lPARK025GG,lEXIT001GG
lPARK001GG_lEXIT002GG,lPARK001GG,lEXIT002GG
lPARK002GG_lEXIT002GG,lPARK002GG,lEXIT002GG
lPARK003GG_lEXIT002GG,lPARK003GG,lEXIT002GG
lPARK004GG_lEXIT002GG,lPARK004GG,lEXIT002GG
lPARK005GG_lEXIT002GG,lPARK005GG,lEXIT002GG
lPARK006GG_lEXIT002GG,lPARK006GG,lEXIT002GG
lPARK007GG_lEXIT002GG,lPARK007GG,lEXIT002GG
lPARK008GG_lEXIT002GG,lPARK008GG,lEXIT002GG
lPARK009GG_lEXIT002GG,lPARK009GG,lEXIT002GG
lPARK0010GG_lEXIT002GG,lPARK0010GG,lEXIT002GG
lPARK011GG_lEXIT002GG,lPARK011GG,lEXIT002GG
lPARK012GG_lEXIT002GG,lPARK012GG,lEXIT002GG
lPARK013GG_lEXIT002GG,lPARK013GG,lEXIT002GG
lPARK014GG_lEXIT002GG,lPARK014GG,lEXIT002GG
lPARK015GG_lEXIT002GG,lPARK015GG,lEXIT002GG
lPARK016GG_lEXIT002GG,lPARK016GG,lEXIT002GG
lPARK017GG_lEXIT002GG,lPARK017GG,lEXIT002GG
lPARK018GG_lEXIT002GG,lPARK018GG,lEXIT002GG
lPARK019GG_lEXIT002GG,lPARK019GG,lEXIT002GG
lPARK020GG_lEXIT002GG,lPARK020GG,lEXIT002GG
lPARK021GG_lEXIT002GG,lPARK021GG,lEXIT002GG
lPARK022GG_lEXIT002GG,lPARK022GG,lEXIT002GG
lPARK023GG_lEXIT002GG,lPARK023GG,lEXIT002GG
lPARK024GG_lEXIT002GG,lPARK024GG,lEXIT002GG
lPARK025GG_lEXIT002GG,lPARK025GG,lEXIT002GG
